adoption_id;animal_id;adopter_id;adoption_date;adoption_status
ADP 1;A001;AD001;4/20/2020;Pending
ADP 2;A002;AD002;7/22/2025;Approved
ADP 3;A003;AD003;9/1/2016;Rejected
ADP 4;A004;AD004;11/1/2018;Completed
ADP 5;A005;AD005;3/24/2018;Cancelled
ADP 6;A006;AD006;9/6/2015;Returned
ADP 7;A007;AD007;4/3/2011;Pending
ADP 8;A008;AD008;8/7/2024;Approved
ADP 9;A009;AD009;1/11/2025;Rejected
ADP 10;A010;AD010;6/25/2018;Completed
ADP 11;A011;AD011;1/24/2012;Cancelled
ADP 12;A012;AD012;11/23/2013;Returned
ADP 13;A013;AD013;6/16/2025;Pending
ADP 14;A014;AD014;5/25/2022;Approved
ADP 15;A015;AD015;7/16/2016;Rejected
ADP 16;A016;AD016;11/18/2019;Completed
ADP 17;A017;AD017;9/16/2021;Cancelled
ADP 18;A018;AD018;9/16/2023;Returned
ADP 19;A019;AD019;12/1/2025;Pending
ADP 20;A020;AD020;2/12/2018;Approved
ADP 21;A021;AD021;1/7/2018;Rejected
ADP 22;A022;AD022;6/19/2024;Completed
ADP 23;A023;AD023;3/18/2010;Cancelled
ADP 24;A024;AD024;7/17/2025;Returned
ADP 25;A025;AD025;2/17/2011;Pending
ADP 26;A026;AD026;2/17/2020;Approved
ADP 27;A027;AD027;5/31/2012;Rejected
ADP 28;A028;AD028;3/11/2022;Completed
ADP 29;A029;AD029;4/4/2024;Cancelled
ADP 30;A030;AD030;5/28/2024;Returned
ADP 31;A031;AD031;9/28/2008;Pending
ADP 32;A032;AD032;10/3/2018;Approved
ADP 33;A033;AD033;8/5/2020;Rejected
ADP 34;A034;AD034;6/13/2013;Completed
ADP 35;A035;AD035;6/10/2017;Cancelled
ADP 36;A036;AD036;4/25/2013;Returned
ADP 37;A037;AD037;5/1/2024;Pending
ADP 38;A038;AD038;3/6/2025;Approved
ADP 39;A039;AD039;2/3/2024;Rejected
ADP 40;A040;AD040;3/11/2025;Completed
ADP 41;A041;AD041;4/23/2014;Cancelled
ADP 42;A042;AD042;8/17/2025;Returned
ADP 43;A043;AD043;6/1/2024;Pending
ADP 44;A044;AD044;2/4/2025;Approved
ADP 45;A045;AD045;4/2/2025;Rejected
ADP 46;A046;AD046;10/27/2018;Completed
ADP 47;A047;AD047;4/28/2018;Cancelled
ADP 48;A048;AD048;11/10/2012;Returned
ADP 49;A049;AD049;11/11/2024;Pending
ADP 50;A050;AD050;6/29/2020;Approved
